,hit,corr,containment,score,rerank_score
0,VWA2,0.657806,1.0,77.0,1.0
1,TSC22D4,-0.40405,1.0,67.0,2.0
2,VPS26C,-0.283811,1.0,61.0,3.0
3,SUCLG2,-0.279545,1.0,60.0,4.0
4,KIAA1671,0.325271,1.0,61.0,5.0
5,ACSL4,0.421708,1.0,65.0,6.0
6,TMED3,0.370144,1.0,62.0,7.0
7,USP7,0.340273,1.0,63.0,8.0
8,HYOU1,0.376719,1.0,63.0,9.0
9,RASAL2,0.39395,1.0,61.0,10.0
10,GLCE,0.607607,1.0,75.0,11.0
11,INPP5D,-0.425854,1.0,66.0,12.0
12,AP3M2,0.314087,1.0,59.0,13.0
13,NRIP1,-0.378013,1.0,62.0,14.0
14,PARD6B,-0.394083,1.0,61.0,15.0
15,BCL2L15,0.374705,1.0,65.0,16.0
16,HPS6,-0.318226,1.0,60.0,17.0
17,KCTD14,0.402097,1.0,66.0,18.0
18,ALDH1L2,-0.448371,1.0,59.0,19.0
19,GPCPD1,0.522388,1.0,69.0,20.0
20,SDSL,-0.296576,1.0,60.0,21.0
21,CALML3,0.551499,1.0,76.0,22.0
22,LZTS3,-0.360689,1.0,62.0,23.0
23,PHLDA1,0.481383,1.0,75.0,24.0
24,ACSL5,0.583191,1.0,73.0,25.0
25,APCDD1,0.578558,1.0,72.0,26.0
26,PLA2G4A,0.536839,1.0,72.0,27.0
27,PDZD8,0.503019,1.0,71.0,28.0
28,DKK4,0.571191,1.0,70.0,29.0
29,SIPA1,-0.350874,1.0,70.0,30.0
30,TTC9,0.523012,1.0,70.0,31.0
31,EPS15,-0.321577,1.0,69.0,32.0
32,FABP4,0.522879,1.0,69.0,33.0
33,FNBP1,-0.399754,1.0,69.0,34.0
34,FREM2,0.500823,1.0,69.0,35.0
35,HMCN1,0.440972,1.0,69.0,36.0
36,RCN2,0.525261,1.0,69.0,37.0
37,STRA6,0.45602,1.0,69.0,38.0
38,AMOT,0.545129,1.0,68.0,39.0
39,CTNNA2,0.564059,1.0,68.0,40.0
40,CTNNB1,0.623043,1.0,68.0,41.0
41,CTNNBIP1,0.457206,1.0,68.0,42.0
42,LEF1,0.511389,1.0,68.0,43.0
43,MACF1,0.336781,1.0,68.0,44.0
44,SEMA3C,0.459031,1.0,68.0,45.0
45,ZFHX3,0.356968,1.0,68.0,46.0
46,ZFYVE27,0.453033,1.0,68.0,47.0
47,ADAMTSL2,0.58769,0.946545,67.0,48.0
48,ALDH3A2,0.448187,1.0,67.0,49.0
49,CRYBB1,0.533539,0.963014,67.0,50.0
50,EPHA7,0.600985,0.950355,67.0,51.0
51,FAM84A,0.397406,0.950355,67.0,52.0
52,GOLIM4,0.413211,1.0,67.0,53.0
53,HCLS1,-0.405534,1.0,67.0,54.0
54,LGALSL,0.429072,1.0,67.0,55.0
55,LRP4,0.687543,0.923666,67.0,56.0
56,PRR9,0.43379,1.0,67.0,57.0
57,ACAP2,-0.396024,1.0,66.0,58.0
58,BCL9L,-0.34939,1.0,66.0,59.0
